protein,protein_id
DYNC1I2,pDYNC1I2
CNOT2,pCNOT2
EMD,pEMD
TEX11,pTEX11
TADA3,pTADA3
MAGEA4,pMAGEA4
UBA2,pUBA2
GNAI2,pGNAI2
GAD1,pGAD1
SSSCA1,pSSSCA1
USP2,pUSP2
COMT,pCOMT
ARRB1,pARRB1
RUNX1T1,pRUNX1T1
CHCHD3,pCHCHD3
TOLLIP,pTOLLIP
FAM107A,pFAM107A
SRSF1,pSRSF1
RCOR3,pRCOR3
BEGAIN,pBEGAIN
ENOX1,pENOX1
XIAP,pXIAP
TDO2,pTDO2
WBP11,pWBP11
RBMX,pRBMX
UBE2D1,pUBE2D1
ZBTB16,pZBTB16
TRAPPC3,pTRAPPC3
TSC22D4,pTSC22D4
COX17,pCOX17
VCL,pVCL
KLHL12,pKLHL12
NUDT18,pNUDT18
PNKP,pPNKP
S100A1,pS100A1
PPP2CA,pPPP2CA
RBL1,pRBL1
UGP2,pUGP2
TRIM32,pTRIM32
SATB1,pSATB1
CNTFR,pCNTFR
GPRIN2,pGPRIN2
RAB3IL1,pRAB3IL1
TFF1,pTFF1
TRIM17,pTRIM17
PSMF1,pPSMF1
EFEMP2,pEFEMP2
C1orf94,pC1orf94
FATE1,pFATE1
NADK,pNADK
KCTD17,pKCTD17
ILF3,pILF3
TNNT1,pTNNT1
STX11,pSTX11
PSMC4,pPSMC4
TCEANC,pTCEANC
SET,pSET
MOAP1,pMOAP1
CBLB,pCBLB
PAK7,pPAK7
MEF2BNB-MEF2B,pMEF2BNB-MEF2B
NCKIPSD,pNCKIPSD
RNF8,pRNF8
RAI1,pRAI1
AP2M1,pAP2M1
APPBP2,pAPPBP2
ACTN1,pACTN1
KIAA1279,pKIAA1279
DACH1,pDACH1
LRCH4,pLRCH4
DOK2,pDOK2
TRIM27,pTRIM27
LPXN,pLPXN
ARR3,pARR3
SFI1,pSFI1
GFAP,pGFAP
PEX5,pPEX5
PRPF3,pPRPF3
HSPA2,pHSPA2
GABRD,pGABRD
H3F3B,pH3F3B
PDLIM4,pPDLIM4
RNF40,pRNF40
FBXL18,pFBXL18
C10orf10,pC10orf10
HIST1H2BN,pHIST1H2BN
SUFU,pSUFU
RABAC1,pRABAC1
PCM1,pPCM1
BAHD1,pBAHD1
ZNF263,pZNF263
HOOK2,pHOOK2
DUT,pDUT
NECAB2,pNECAB2
GLRX3,pGLRX3
FOSL1,pFOSL1
PIM2,pPIM2
PSME3,pPSME3
MLH1,pMLH1
EMILIN1,pEMILIN1
WDR6,pWDR6
SF3B4,pSF3B4
RAB33A,pRAB33A
SHCBP1,pSHCBP1
LDB1,pLDB1
FKBP6,pFKBP6
MCM6,pMCM6
HPCAL4,pHPCAL4
NDC80,pNDC80
RPIA,pRPIA
PSMC6,pPSMC6
MIF,pMIF
SNRPA,pSNRPA
TNFAIP8,pTNFAIP8
EHMT2,pEHMT2
DRAP1,pDRAP1
SRGN,pSRGN
XPO6,pXPO6
EIF3K,pEIF3K
STX4,pSTX4
ASH2L,pASH2L
FANCG,pFANCG
U2AF2,pU2AF2
TCEB3B,pTCEB3B
CYTH2,pCYTH2
CDKN1A,pCDKN1A
BAIAP2,pBAIAP2
IFIT1,pIFIT1
NOL3,pNOL3
KRT6A,pKRT6A
AQP1,pAQP1
ZFP36L1,pZFP36L1
UTP14A,pUTP14A
VTA1,pVTA1
KARS,pKARS
SRSF6,pSRSF6
MAPK9,pMAPK9
HOXB9,pHOXB9
SETD5,pSETD5
DEF6,pDEF6
THAP10,pTHAP10
CCDC53,pCCDC53
GNMT,pGNMT
IRF3,pIRF3
UBC,pUBC
TESC,pTESC
HIF1A,pHIF1A
ZNF581,pZNF581
PHF1,pPHF1
SORBS3,pSORBS3
CLK3,pCLK3
ZNF646,pZNF646
GABPB1,pGABPB1
HIF1AN,pHIF1AN
SPP1,pSPP1
PPARA,pPPARA
LIMS1,pLIMS1
NUDT21,pNUDT21
BRE,pBRE
KRTAP4-12,pKRTAP4-12
UNC119,pUNC119
RGR,pRGR
ZSCAN20,pZSCAN20
CDK4,pCDK4
TMEM147,pTMEM147
BAG6,pBAG6
TRIM39,pTRIM39
CDC42,pCDC42
SPOP,pSPOP
SEPT1,pSEPT1
NKAP,pNKAP
SERF2,pSERF2
SH2D3C,pSH2D3C
ZBTB48,pZBTB48
SF1,pSF1
BEND7,pBEND7
DDX17,pDDX17
RBFOX2,pRBFOX2
AQP5,pAQP5
NASP,pNASP
CREB3,pCREB3
SALL2,pSALL2
CDK5R1,pCDK5R1
IFIT2,pIFIT2
C5orf22,pC5orf22
JUP,pJUP
CDK18,pCDK18
GCC1,pGCC1
ZNF580,pZNF580
RCN3,pRCN3
CNNM3,pCNNM3
DARS,pDARS
PAFAH1B3,pPAFAH1B3
PLA2G16,pPLA2G16
VASP,pVASP
CCDC112,pCCDC112
NME4,pNME4
SPG7,pSPG7
COPS4,pCOPS4
EIF4E2,pEIF4E2
NDUFA5,pNDUFA5
RABL2B,pRABL2B
SHFM1,pSHFM1
ISG15,pISG15
CHIC2,pCHIC2
SNAP25,pSNAP25
THG1L,pTHG1L
QARS,pQARS
RADIL,pRADIL
TPM1,pTPM1
TXNL4A,pTXNL4A
PBXIP1,pPBXIP1
HACL1,pHACL1
GSE1,pGSE1
GLUL,pGLUL
LRRC41,pLRRC41
SHC1,pSHC1
APIP,pAPIP
TNNI1,pTNNI1
HOOK1,pHOOK1
RFX2,pRFX2
MPP1,pMPP1
FAM103A1,pFAM103A1
CKB,pCKB
DCUN1D1,pDCUN1D1
FBP1,pFBP1
PMM1,pPMM1
HOMER1,pHOMER1
VPS72,pVPS72
DGCR6L,pDGCR6L
DUSP6,pDUSP6
NMI,pNMI
FBF1,pFBF1
RBM7,pRBM7
FZD7,pFZD7
UBB,pUBB
ZNF821,pZNF821
CDC23,pCDC23
EIF4EBP3,pEIF4EBP3
VIL1,pVIL1
SPEF1,pSPEF1
RPS26,pRPS26
NONO,pNONO
KLHL2,pKLHL2
CSTF2T,pCSTF2T
MTF1,pMTF1
SH3GL1,pSH3GL1
ZMYND10,pZMYND10
CTNNBIP1,pCTNNBIP1
IFT27,pIFT27
WDR5,pWDR5
SS18L1,pSS18L1
CCDC33,pCCDC33
ZNF426,pZNF426
COL8A1,pCOL8A1
DTX2,pDTX2
APPL2,pAPPL2
FAM189A2,pFAM189A2
OGDH,pOGDH
GPBP1L1,pGPBP1L1
TAP1,pTAP1
AMOTL2,pAMOTL2
PAX6,pPAX6
SNAP29,pSNAP29
NBPF3,pNBPF3
PFKL,pPFKL
ACTL6A,pACTL6A
ZNF205,pZNF205
TREX1,pTREX1
PHC1,pPHC1
HHEX,pHHEX
GABARAPL2,pGABARAPL2
PLK4,pPLK4
USO1,pUSO1
GINS2,pGINS2
IL36RN,pIL36RN
CALML3,pCALML3
SIX1,pSIX1
C20orf27,pC20orf27
AIMP2,pAIMP2
RHOC,pRHOC
ELF5,pELF5
ACCS,pACCS
ZNF638,pZNF638
CDC25A,pCDC25A
PUF60,pPUF60
SNF8,pSNF8
RPS14,pRPS14
TEAD4,pTEAD4
RTN3,pRTN3
GRN,pGRN
LNX1,pLNX1
TANK,pTANK
APEX2,pAPEX2
ATG12,pATG12
FTH1,pFTH1
APEH,pAPEH
NCK2,pNCK2
ABI2,pABI2
UBE2D4,pUBE2D4
CEP72,pCEP72
EIF4A3,pEIF4A3
KRT17,pKRT17
TPM3,pTPM3
TNIP1,pTNIP1
FASTK,pFASTK
AEBP2,pAEBP2
ZFP36,pZFP36
CXADR,pCXADR
DYNC1I1,pDYNC1I1
CHMP4A,pCHMP4A
ZC4H2,pZC4H2
EIF3H,pEIF3H
SELENBP1,pSELENBP1
JUNB,pJUNB
IFFO1,pIFFO1
PARK2,pPARK2
PIH1D1,pPIH1D1
CRX,pCRX
PKN1,pPKN1
NME7,pNME7
HPRT1,pHPRT1
ZFHX3,pZFHX3
MOB1A,pMOB1A
KLF6,pKLF6
FHL3,pFHL3
ZBTB25,pZBTB25
PITX1,pPITX1
CETP,pCETP
STMN2,pSTMN2
NME3,pNME3
BBS2,pBBS2
CRK,pCRK
ACTN4,pACTN4
COL4A3BP,pCOL4A3BP
CSNK1G2,pCSNK1G2
TRIM21,pTRIM21
MEOX2,pMEOX2
HOMER3,pHOMER3
EIF4H,pEIF4H
DOCK10,pDOCK10
CCT3,pCCT3
CD99,pCD99
NAGK,pNAGK
CALM2,pCALM2
SERTAD1,pSERTAD1
SERTAD3,pSERTAD3
CBFA2T2,pCBFA2T2
HSBP1,pHSBP1
PSMC5,pPSMC5
AAR2,pAAR2
SMAD4,pSMAD4
EEF1D,pEEF1D
CCND2,pCCND2
SEC24D,pSEC24D
DDX39A,pDDX39A
MAP3K7CL,pMAP3K7CL
SCAND1,pSCAND1
GCSH,pGCSH
AKR7A2,pAKR7A2
SRSF4,pSRSF4
LIN37,pLIN37
POLR2L,pPOLR2L
