Node_i,Node_j,edge_weight
l2310001H17Rik,pPou5f1,1
l2310001H17Rik,pRFOX2,1
l2310001H17Rik,pTTP,1
l2310001H17Rik,pTYY1,1
l2310001H17Rik,pVIGLN,1
l2310002F09Rik,pAGO2,1
l2310002F09Rik,pFMR1,1
l2310002F09Rik,pMSI2H,1
l2310002F09Rik,pPABP1,1
l2310002F09Rik,pPSPC1,1
l2310002F09Rik,pQKI,1
l2310002F09Rik,pRFOX2,1
l2310002F09Rik,pTIA1,1
l2310002F09Rik,pTYY1,1
l2310002F09Rik,pVIGLN,1
l2310002L09Rik,pCelf1,2
l2310003H01Rik,pCpsf6,1
l2310003H01Rik,pFMRP,1
l2310003H01Rik,pUpf1,1
l2310010G23Rik,pPABP1,1
l2310010J17Rik,pPABP1,1
l2310010J17Rik,pTTP,1
l2310014G06Rik,pMbnl1,1
l2310015A10Rik,pPABP1,1
l2310015A10Rik,pRFOX2,1
l2310015A10Rik,pSFPQ,1
l2310015A10Rik,pTTP,1
l2310022M17Rik,pMbnl1,1
l2310026I22Rik,pPtbp2,1
l2310026I22Rik,pRFOX2,1
l2310031A07Rik,pDAZL,1
l2310031A07Rik,pFMR1,1
l2310031A07Rik,pPABP1,1
l2310031A07Rik,pPou5f1,1
l2310031A07Rik,pQKI,1
l2310031A07Rik,pTIA1,1
l2310039E09Rik,pMbnl1,1
l2310043D23Rik,pFMR1,2
l2310043D23Rik,pPABP1,1
l2310043M15Rik,p-,1
l2310043M15Rik,pPou5f1,1
l2310043M15Rik,pRFOX2,1
l2310043M15Rik,pSFPQ,1
l2310045A20Rik,pMbnl1,1
l2310045A20Rik,pMbnl3,1
l2310050B05Rik,p-,1
l2310050B05Rik,pAGO2,1
l2310050B05Rik,pKPYM,1
l2310050B05Rik,pPSPC1,1
l2310050B05Rik,pRFOX2,1
l2310050B05Rik,pSFPQ,1
l2310050B05Rik,pTIA1,1
l2310050B05Rik,pVIGLN,1
l2310061I04Rik,pFus,2
l2310061I04Rik,pTdp43,1
l2310067B10Rik,pCelf1,2
l2310067B10Rik,pFus,2
l2310067B10Rik,pMbnl3,1
l2310067B10Rik,pTdp43,1
l2310067B10Rik,pUpf1,1
l2310069G16Rik,pFMR1,1
l2310069G16Rik,pPou5f1,1
l2310069G16Rik,pPtbp2,1
l2310069G16Rik,pRFOX2,1
l2310069G16Rik,pSFPQ,1
l2310076L09Rik,pMbnl1,1
l2310081O03Rik,pKPYM,1
l2310081O03Rik,pSFPQ,1
l2410014A08Rik,pMbnl1,1
l2410017P07Rik,pMbnl2,1
l2410018C17Rik,pMbnl1,1
l2410057H14Rik,pRFOX2,1
l2410057H14Rik,pSFPQ,1
l2410076I21Rik,pFus,2
l2410076I21Rik,pTdp43,1
l2410076I21Rik,pUpf1,1
l2410089E03Rik,pFMRP,1
l2410089E03Rik,pFus,2
l2410089E03Rik,pMbnl1,1
l2410089E03Rik,pNova1,1
l2410089E03Rik,pTdp43,1
l2410089E03Rik,pUpf1,1
l2410127E18Rik,pMbnl1,1
l2410133F24Rik,pDAZL,1
l2410133F24Rik,pKPYM,1
l2410133F24Rik,pPABP1,1
l2410133F24Rik,pPSPC1,1
l2410133F24Rik,pRBM10,1
l2410133F24Rik,pRFOX2,1
l2410133F24Rik,pSFPQ,1
l2410133F24Rik,pTIA1,1
l2410133F24Rik,pTTP,2
l2410133F24Rik,pTYY1,1
l2410133F24Rik,pVIGLN,1
l2410137F16Rik,p-,1
l2410137F16Rik,pFMR1,2
l2410137F16Rik,pRFOX2,1
l2410137F16Rik,pSFPQ,1
l2410137F16Rik,pTIA1,1
l2410137F16Rik,pTYY1,1
l2410166I05Rik,pMbnl1,1
l2410187C16Rik,pMbnl1,1
l2500002B13Rik,pAGO2,1
l2500002B13Rik,pKPYM,1
l2500002B13Rik,pPABP1,1
l2500002B13Rik,pPou5f1,1
l2500002B13Rik,pRBM10,1
l2500002B13Rik,pRFOX2,1
l2500002B13Rik,pSFPQ,1
l2500002B13Rik,pTYY1,1
l2510002D24Rik,pFus,2
l2510002D24Rik,pTdp43,1
l2510003D18Rik,pPABP1,1
l2510003D18Rik,pPABPC1,1
l2510003D18Rik,pRFOX2,1
l2610005L07Rik,p-,1
l2610005L07Rik,pAGO1,1
l2610005L07Rik,pAGO2,2
l2610005L07Rik,pAGO4,1
l2610005L07Rik,pDAZL,1
l2610005L07Rik,pElavl1,1
