protein,protein_id
Pax9,pPax9
Pbx1,pPbx1
Pbx2,pPbx2
Pbx3,pPbx3
Phf2,pPhf2
Phtf1,pPhtf1
Pitx2,pPitx2
Pitx3,pPitx3
Pou2f1,pPou2f1
Pou4f2,pPou4f2
Pou6f1,pPou6f1
Ppara,pPpara
Ppard,pPpard
Rbl1,pRbl1
Rbpjl,pRbpjl
Rel,pRel
Rfx2,pRfx2
Rfxank,pRfxank
Rnps1,pRnps1
Polr1b,pPolr1b
Polr1a,pPolr1a
Polr2c,pPolr2c
Polr2j,pPolr2j
Ruvbl2,pRuvbl2
Rxrg,pRxrg
Khdrbs1,pKhdrbs1
Six6,pSix6
Kdm5d,pKdm5d
Sox6,pSox6
Sox9,pSox9
Srebf1,pSrebf1
Srebf2,pSrebf2
Supt4a,pSupt4a
Taf1a,pTaf1a
Taf1b,pTaf1b
Taf1c,pTaf1c
Tal2,pTal2
Tbp,pTbp
Tbx15,pTbx15
Hnf1a,pHnf1a
Zfp354a,pZfp354a
Tfap2a,pTfap2a
Tfcp2,pTfcp2
Tcf3,pTcf3
Mlx,pMlx
Ubtf,pUbtf
Tef,pTef
Trim28,pTrim28
Tnfaip3,pTnfaip3
Trp63,pTrp63
Trp73,pTrp73
Ubp1,pUbp1
Nr1h3,pNr1h3
Xbp1,pXbp1
Zfp11,pZfp11
Zscan2,pZscan2
Zfp64,pZfp64
Zic1,pZic1
Ets2,pEts2
Gtf2h2,pGtf2h2
Nr0b2,pNr0b2
Dazap2,pDazap2
Vax2,pVax2
Ing1,pIng1
Esrrg,pEsrrg
Nr5a1,pNr5a1
Polr3e,pPolr3e
Irf5,pIrf5
Zfp275,pZfp275
Tlx3,pTlx3
Mixl1,pMixl1
Tceb3,pTceb3
Ing4,pIng4
Zfp292,pZfp292
Pdlim4,pPdlim4
Foxe3,pFoxe3
Preb,pPreb
Olig1,pOlig1
Ankrd22,pAnkrd22
Barhl1,pBarhl1
Plagl2,pPlagl2
Sertad1,pSertad1
Cited4,pCited4
Zfp111,pZfp111
Rnf14,pRnf14
Gmeb1,pGmeb1
Sertad2,pSertad2
Zfp191,pZfp191
Foxj2,pFoxj2
