Node_i,Node_j,edge_weight
l2310014G06Rik,pMbnl1,1
l2310015A10Rik,pPabpc1,1
l2310015A10Rik,pRbfox2,1
l2310015A10Rik,pSfpq,1
l2310015A10Rik,pZfp36,1
l2310022M17Rik,pMbnl1,1
l2310026I22Rik,pPtbp2,1
l2310026I22Rik,pRbfox2,1
l2310031A07Rik,pDazl,1
l2310031A07Rik,pFmr1,1
l2310031A07Rik,pPabpc1,1
l2310031A07Rik,pPou5f1,1
l2310031A07Rik,pQki,1
l2310031A07Rik,pTia1,1
l2310039E09Rik,pMbnl1,1
l2310043D23Rik,pFmr1,2
l2310043D23Rik,pPabpc1,1
l2310043M15Rik,p-,1
l2310043M15Rik,pPou5f1,1
l2310043M15Rik,pRbfox2,1
l2310043M15Rik,pSfpq,1
l2310045A20Rik,pMbnl1,1
l2310045A20Rik,pMbnl3,1
l2310050B05Rik,p-,1
l2310050B05Rik,pAgo2,1
l2310050B05Rik,pPkm,1
l2310050B05Rik,pPspc1,1
l2310050B05Rik,pRbfox2,1
l2310050B05Rik,pSfpq,1
l2310050B05Rik,pTia1,1
l2310050B05Rik,pHdlbp,1
l2310061I04Rik,pFus,2
l2310061I04Rik,pTardbp,1
l2310067B10Rik,pCelf1,2
l2310067B10Rik,pFus,2
l2310067B10Rik,pMbnl3,1
l2310067B10Rik,pTardbp,1
l2310067B10Rik,pUpf1,1
l2310069G16Rik,pFmr1,1
l2310069G16Rik,pPou5f1,1
l2310069G16Rik,pPtbp2,1
l2310069G16Rik,pRbfox2,1
l2310069G16Rik,pSfpq,1
l2310076L09Rik,pMbnl1,1
l2310081O03Rik,pPkm,1
l2310081O03Rik,pSfpq,1
l2410014A08Rik,pMbnl1,1
l2410017P07Rik,pMbnl2,1
l2410018C17Rik,pMbnl1,1
l2410057H14Rik,pRbfox2,1
l2410057H14Rik,pSfpq,1
l2410076I21Rik,pFus,2
l2410076I21Rik,pTardbp,1
l2410076I21Rik,pUpf1,1
l2410089E03Rik,pFmr1,1
l2410089E03Rik,pFus,2
l2410089E03Rik,pMbnl1,1
l2410089E03Rik,pNova1,1
l2410089E03Rik,pTardbp,1
l2410089E03Rik,pUpf1,1
l2410127E18Rik,pMbnl1,1
l2410133F24Rik,pDazl,1
l2410133F24Rik,pPkm,1
l2410133F24Rik,pPabpc1,1
l2410133F24Rik,pPspc1,1
l2410133F24Rik,pRbm10,1
l2410133F24Rik,pRbfox2,1
