lncRNA,score
lNONHSAG000879,1.1152642329967301e-05
lNONHSAG020184,1.11465174191205e-05
lNONHSAG021911,1.1134032619227901e-05
lNONHSAG000427,1.1119989858808914e-05
lNONHSAG050725,1.1102758598274348e-05
lNONHSAG036663,1.107407536398572e-05
lNONHSAG048057,1.107181373051744e-05
lNONHSAG023258,1.1049097242578173e-05
lNONHSAG039048,1.104554601341379e-05
lNONHSAG050284,1.104539844939018e-05
lNONHSAG052908,1.1039306583234173e-05
lNONHSAG027864,1.103308579149142e-05
lNONHSAG038295,1.1022235395385407e-05
lNONHSAG051196,1.1004922851912301e-05
lNONHSAG044443,1.1004492795948034e-05
lNONHSAG020218,1.1001844189706084e-05
lNONHSAG025867,1.097936506988903e-05
lNONHSAG022653,1.097236414429666e-05
lNONHSAG016610,1.0953607992428518e-05
lNONHSAG017366,1.0948076941969683e-05
lNONHSAG015044,1.0919866405224123e-05
lNONHSAG039371,1.0913602881871823e-05
lNONHSAG061429,1.090328881005472e-05
lNONHSAG053077,1.090051763932212e-05
lNONHSAG043741,1.0884273748028756e-05
lNONHSAG021471,1.0883977376632824e-05
lNONHSAG047191,1.0873132720940267e-05
lNONHSAG032560,1.0853055004942572e-05
lNONHSAG097344,1.084533230456122e-05
lNONHSAG030502,1.0845043134445238e-05
lNONHSAG034207,1.0838734466053635e-05
lNONHSAG002475,1.0834696305062723e-05
lNONHSAG042156,1.0831932374148071e-05
lNONHSAG005427,1.0821201575635185e-05
lNONHSAG101229,1.0816175753762419e-05
lNONHSAG004962,1.080986962643494e-05
lNONHSAG039961,1.0804157710129046e-05
lNONHSAG025448,1.0780532274576679e-05
lNONHSAG018624,1.0774063315037433e-05
lNONHSAG001803,1.0769486689283699e-05
lNONHSAG017971,1.0755919171759488e-05
lNONHSAG014215,1.0752565267203608e-05
lNONHSAG006668,1.0729585947312467e-05
lNONHSAG035164,1.07092091782444e-05
lNONHSAG033552,1.070658662657528e-05
lNONHSAG028795,1.068476215545222e-05
lNONHSAG011590,1.0680717452645527e-05
lNONHSAG020850,1.0675225025277764e-05
lNONHSAG037643,1.0672431083958718e-05
lNONHSAG027321,1.0665134140976573e-05
lNONHSAG026389,1.0655144762146115e-05
lNONHSAG053302,1.0638515550185483e-05
lNONHSAG019350,1.0630010813640727e-05
lNONHSAG030135,1.0619487325449013e-05
lNONHSAG039312,1.0618545477754275e-05
lNONHSAG042552,1.05913450478381e-05
lNONHSAG032683,1.0585069536738595e-05
lNONHSAG010366,1.0578137084672531e-05
lNONHSAG032488,1.0557998311367218e-05
lNONHSAG029080,1.052947090138874e-05
lNONHSAG011291,1.0513544669132852e-05
lNONHSAG072176,1.0501874021385797e-05
lNONHSAG011267,1.0501778429421376e-05
lNONHSAG012313,1.0493042610891713e-05
lNONHSAG037225,1.048424934861329e-05
lNONHSAG007324,1.047873533824033e-05
lNONHSAG026198,1.0475431656510997e-05
lNONHSAG034210,1.0473224464520716e-05
lNONHSAG021408,1.045931711280984e-05
lNONHSAG001344,1.0453641953501904e-05
lNONHSAG004778,1.0426904550523903e-05
lNONHSAG039749,1.0426560036589253e-05
lNONHSAG042295,1.03982017414448e-05
lENSG00000270103,1.0380628989244655e-05
lNONHSAG013724,1.0376734156301519e-05
lNONHSAG016540,1.0354868837806135e-05
lNONHSAG004027,1.033303167770747e-05
lNONHSAG000572,1.03156185234018e-05
lNONHSAG005862,1.0314104518805679e-05
lNONHSAG005325,1.0297858872247619e-05
lNONHSAG013162,1.0296847666900583e-05
lNONHSAG037974,1.029567619193674e-05
lNONHSAG068402,1.0292761280310776e-05
lNONHSAG038283,1.0267367618508851e-05
lNONHSAG048458,1.026720835626501e-05
lNONHSAG002452,1.0264186964755217e-05
lNONHSAG050480,1.0262511473506182e-05
lNONHSAG047847,1.0261051021362713e-05
lNONHSAG022546,1.0224244690237443e-05
lNONHSAG010301,1.022369751762405e-05
lNONHSAG034305,1.0212131529650259e-05
lNONHSAG023269,1.0205276987578144e-05
lNONHSAG096230,1.0192324871838327e-05
lNONHSAG020833,1.0132601917698273e-05
