Protein A,Protein B
Nap1l1,Nap1l2
Nap1l4,Nap1l2
Nap1l2,Nap1l1
Nap1l2,Nap1l4
Nap1l2,Nap1l3
Nap1l2,Nap1l5
Nap1l2,Tceal8
Rara,Ep300
Rarb,Ep300
Rarg,Ep300
Tdg,Aicda
Tdg,Gadd45a
Aicda,Tdg
Gadd45a,Tdg
Aicda,Gadd45a
Mapkapk2,Lsp1
E130012A19Rik,Btf3
E130012A19Rik,C1qbp
E130012A19Rik,Cpsf6
E130012A19Rik,Ddx5
E130012A19Rik,Eed
E130012A19Rik,Hist1h1c
E130012A19Rik,Hsp90aa1
E130012A19Rik,Ints3
E130012A19Rik,Prpsap1
E130012A19Rik,Myl12b
E130012A19Rik,Mtf2
E130012A19Rik,Myh9
E130012A19Rik,Nek9
E130012A19Rik,Nktr
E130012A19Rik,Pcna
E130012A19Rik,Rbbp4
E130012A19Rik,Rpl23a
E130012A19Rik,Rpl28
E130012A19Rik,Rps11
E130012A19Rik,Rps13
E130012A19Rik,Setx
E130012A19Rik,Sptan1
E130012A19Rik,Sptbn1
E130012A19Rik,Suz12
E130012A19Rik,Gtf2e2
E130012A19Rik,Alyref
E130012A19Rik,Rps27a
Stat3,Hes1
Pak1,Mbp
Pak1,Esr1
Ripk1,Map3k8
Tnfrsf1a,Syk
Nfkb1,Map3k8
Ccne1,Cdk2
Cdk2,Hist1h1a
Esr1,Src
Esr1,Nos3
Ccne1,Calm1
Prkcb,Rb1
Rb1,Prkcb
Mib1,Dapk1
Snca,Klk6
Ilk,Stub1
Stub1,Ilk
Stub1,Hspa8
Stub1,Hsp90ab1
Stub1,Ilk
Ilk,Parva
Ilk,Lims1
Otud7b,Traf3
Ltbr,Birc3
Ltbr,Traf2
Ltbr,Otud7b
Ltbr,Traf3
Fbxl3,Cry2
Fbxl3,Skp1a
Tnfrsf1a,Ripk1
Tnfrsf1a,Tnfaip3
Usp2,Nr3c2
Nr3c2,Usp2
Nr3c2,Tsg101
Cdkn2a,Mdm2
Mdm2,Trp53
Flt3,Socs2
Socs2,Flt3
Hspa5,Atf6
Ar,Hspa5
E2f1,Parp1
Daxx,Trp53
Daxx,Mdm2
Aes,Tle1
Aes,Hdac3
Crebbp,Myb
Rasa1,Abl1
Rtkn,Rhoa
Gas1,Shh
Shh,Gas1
Mdm2,Rpl11
Trp53,Cdkn2a
Trp53,Rpl11
Rpl11,Mdm2
Rpl11,Trp53
Myod1,Map2k1
Map2k1,Myod1
Myod1,Fbxo32
Zbtb16,Pml
Zbtb16,Hdac1
Mme,Actb
Mme,Adam10
Cdk2,Hist1h1c
Gabra1,Gabrg2
Gabra1,Gabrb2
Ppp3ca,Gabrg2
Ppp3ca,Gabrb2
Ppp3ca,Gabra1
Ppp3ca,Gabrg2
Als2,Grip1
Grip1,Als2
Phc2,Rnf2
Phc2,Ring1
Rnf2,Bmi1
Phc2,Bmi1
Rnf2,Pcgf2
Phc2,Pcgf2
Rnf2,Pcgf2
Pcgf2,Rnf2
Phc1,Rnf2
Was,Gas7
Gas7,Was
Car1,Lnx1
Car1,Lnx1
Sp1,Msx3
Stmn1,Cdkn1b
Dtnbp1,Cmya5
Txn1,Dtnbp1
Fbxo32,Nfkbia
Fbxo32,Nfkbia
Cdk1,Hist1h1c
Hsp90ab1,Nr3c1
Hsp90ab1,Pgr
Hras,Hspd1
Shc1,Egfr
Shc1,Grb2
Srf,Myocd
Mfn1,Mfn2
Mfn2,Mfn1
Enah,Abl1
Enah,Src
Enah,Fyn
Enah,Zyx
Enah,Vcl
Enah,Pfn1
Fbxl7,Aurka
Skp1a,Ube2g2
Ifi204,Runx2
Ifi204,Runx2
Sumf1,Sumf2
Sumf2,Sumf1
Usp42,Glb1
Il6st,Lifr
Foxh1,Nkx2-5
Nkx2-5,Foxh1
Vps26a,Vps29
Vps26a,Vps26b
Vps26a,Vps35
Vps26b,Vps29
Vps26b,Vps26a
Vps26b,Vps35
Vps35,Vps29
Vps35,Vps26a
Vps35,Vps26b
Vps35,Snx1
Hsp90ab1,Hsf1
Hsp90ab1,Hdac6
Hsp90ab1,Vcp
Sox5,Sox6
Scg2,Gga1
Slamf1,Sh2d1b1
Slamf1,Sh2d1b2
Hck,Sh2d1b2
Lyn,Sh2d1b2
Fyn,Sh2d1b2
Rxra,Trim24
Rxra,Trim24
Tbp,Taf5
Tbp,Taf10
Adipoq,Cdh13
Kcnk1,Psd
Kcnk1,Arf6
Stat5a,Agap2
Prlr,Agap2
Agap2,Prlr
Agap2,Stat5a
Ifngr1,Jak2
Myc,Cdkn2a
Cdkn2a,Myc
Max,Myc
Max,Cdkn2a
Fbxw8,Cul1
Fbxw8,Cul7
Fbxw8,Skp1a
Fbxw8,Rbx1
Cul1,Fbxw8
Cul1,Cul7
Cul1,Skp1a
Cul1,Rbx1
Cul7,Fbxw8
Cul7,Cul1
Cul7,Skp1a
Cul7,Rbx1
Sall4,Tbx5
Rab27a,Mlph
Ccnd1,Cdk4
Ccnd1,Cdk4
Ccnd1,Cdk4
Ccnd1,Hspa8
Ccnd1,Cdkn1a
Ccnd1,Hspa8
Cdkn1a,Ccnd1
Cdkn1a,Hspa8
Hspa8,Cdk4
Ccr2,Ccl2
Ccr2,Ccl7
Ube2a,Rad18
Ube2b,Rad18
Rad18,Ube2a
Rad18,Ube2b
Hcst,Klrk1
Tyrobp,Klrk1
Klrk1,Hcst
Klrk1,Tyrobp
Hcst,Tyrobp
Tyrobp,Hcst
Fcer1g,Cd247
Cd247,Fcer1g
Gmnn,Cdt1
Cdt1,Mcm6
Cdk2,Hist1h1c
Ccna2,Cdk2
Cdkn1b,Cdk2
Ndel1,Dync1i1
Ndel1,Dync1h1
Ndel1,Arhgap1
Ndel1,Pafah1b1
Ndel1,Ywhae
Ndel1,Tuba1a
Ndel1,Tubb1
Ndel1,Arhgap1
Arhgap1,Ndel1
Arhgap1,Pafah1b1
Itch,Ndfip1
Sost,Lrp5
Sost,Lrp6
Cdkn2a,Trp53
Rbm3,Rpl4
Rbm3,Rpl4
Chuk,Nfkbib
Ikbkg,Nfkbib
Ikbkb,Nfkbib
Yy1,Hdac1
Rps6ka3,Fbxo5
Phyhip,Bai1
Fmn1,Abl1
Fmn1,Fyn
Fmn1,Prpf40a
Fmn1,Tcerg1
Prpf40a,Fmn1
Tcerg1,Fmn1
Wbp4,Fmn1
Scn1a,Nedd4
Scn2a1,Nedd4
Scn3a,Nedd4
Scn5a,Nedd4
Scn8a,Nedd4
Scn9a,Nedd4
Scn10a,Nedd4
Scnn1a,Nedd4
Scnn1b,Nedd4
Scnn1g,Nedd4
Scn1a,Nedd4l
Scn2a1,Nedd4l
Scn3a,Nedd4l
Scn5a,Nedd4l
Scn8a,Nedd4l
Scn9a,Nedd4l
Scn10a,Nedd4l
Scnn1a,Nedd4l
Scnn1b,Nedd4l
Scnn1g,Nedd4l
Nedd4l,Scn1a
Nedd4l,Scn2a1
Nedd4l,Scn3a
Nedd4l,Scn5a
Nedd4l,Scn8a
Nedd4l,Scn9a
Nedd4l,Scn10a
Nedd4,Scn1a
Nedd4,Scn2a1
Nedd4,Scn3a
Nedd4,Scn5a
Nedd4,Scn8a
Nedd4,Scn9a
Nedd4,Scn10a
Nedd4l,Scn2a1
Nedd4l,Scn9a
Axin1,Prmt1
Axin1,Gsk3b
Axin1,Ctnnb1
Prmt1,Axin1
Prmt1,Axin1
Htt,Bag1
Ndn,Ccar1
Ndn,Ccar1
Ccar1,Ndn
Mdm2,Ndn
Mdm2,Ccar1
Ndn,Mdm2
Ccar1,Mdm2
Calm1,Map6d1
Pparg,Scand1
Ppard,Scand1
Scand1,Pparg
Scand1,Esr1
Scand1,Thrb
Clock,Arntl
Clock,Crebbp
Vgll2,Mef2c
Vgll2,Mef2c
Ikzf1,Chd3
Ikzf1,Hdac1
Ikzf1,Hdac2
Ikzf1,Smarca4
Ikzf1,Smarcd3
Cdh1,Arvcf
Cdh2,Arvcf
Cdh15,Arvcf
Cblb,Cbl
Cdh1,Ctnnd1
Uaca,Lgals4
Uaca,Lgals3
Trp53,Bcl2l1
Bcl2l1,Trp53
Numb,Cdh1
Numb,Grin1
Cdh1,Numb
Cdh2,Numb
Cdh2,Grin1
Numb,Ctnna1
Numb,Ctnnb1
Pdlim7,Sh2b2
Sbds,Efna1
Rpl28,Eif6
Rpl28,Sbds
Rpl28,Efna1
Akt1,Ppargc1a
Ndn,Rtn4
Rtn4,Ndn
Cbl,Crk
Cbl,Pik3r1
Ngly1,Vcp
Ngly1,Vcp
Ngly1,Vcp
Zfp467,Stat1
Zfp467,Stat3
Zfp467,Stat4
Mapt,Hspa8
Mapt,Efhd2
Mapt,Efhd2
Gria2,Gria1
Gria2,Cacng2
Cacng2,Gria1
Gria2,Dlg4
Gria2,Hspa5
Il1r1,Irak4
Crkl,Rapgef1
Crkl,Cbl
Crk,Cbl
Mei4,Rec114
Itgb1bp2,Hsp90ab1
Hsp90ab1,Itgb1bp2
Hsp90ab1,Itgb1bp2
Itgb1bp2,Sugt1
Sugt1,Itgb1bp2
Sp1,Pparg
Pparg,Sp1
Mapk7,Hsp90ab1
Mapk7,Cdc37
Phb2,Srsf3
Eef1a2,Srsf3
Srsf3,Phb2
Eef1a2,Phb2
Kpnb1,Kpna2
Kpna2,Kpnb1
Ace,Myh9
Spi1,Hoxa10
Chuk,Atg16l2
Artn,Gfra3
Runx1t1,Cebpb
Drd3,Palm
Csnk2b,Tcte3
Pax6,Trim11
Trim11,Pax6
Ncor1,Pias1
Ncor1,Ube2i
Tal1,Kat2b
Tal1,Sin3a
Ncor1,Sin3a
Crk,Irs1
Crk,Bcar1
Irs1,Irs2
Irs2,Irs1
Hnf1b,Crebbp
Hnf1b,Kat2b
Hnf1b,Hdac1
Hnf1b,Crebbp
Hnf1b,Kat2b
Hnf1b,Hdac1
Slc1a5,Prkcd
Slc38a3,Prkcd
Mxd4,Max
Mxd4,Sin3a
Cxadr,Lnx2
Cxadr,Lnx2
Crk,Cbl
Fyn,Cbl
Catsper1,Catsperg2
Cdon,Neo1
Crocc,Klc1
Crocc,Klc2
Crocc,Klc3
Klc3,Crocc
Crocc,Klc2
Crocc,Appbp2
Klc1,Crocc
Klc2,Crocc
Appbp2,Crocc
Nr2e1,Atn1
Nkx2-5,Tbx5
Clcn7,Ostm1
Ostm1,Clcn7
Rps6ka5,Atf2
Mapk1,Atf2
Mapk3,Atf2
Mapk1,Atf2
Rps6ka5,Atf2
Mapk9,Atf2
Mapk14,Atf2
Shc1,Src
Shc2,Src
Shc2,Grin2b
Shc3,Src
Shc3,Grin2b
Shc3,Grin1
Psen1,Ncstn
Ncstn,Psen1
Ncstn,Hsp90b1
Ncstn,Hspa5
Ncstn,Eea1
Cdk1,Hist1h1c
Anxa7,Sri
Tle3,Nkx2-2
Cav1,Nf1
Dok2,Rasa1
Raf1,Rabgef1
Raf1,Hras
Raf1,Rabgef1
Eps8,Grin1
Eps8,Grin2a
Eps8,Grin2c
Grin2a,Grin1
Grin2a,Eps8
Grin2a,Grin2c
Gria1,Grin1
Gria1,Grin2a
Gria1,Eps8
Gria1,Grin2c
Melk,Txn1
Kdm2b,Rnf2
Kdm2b,Pcgf1
Kdm2b,Rybp
Rnf2,Kdm2b
Rnf2,Pcgf1
Rnf2,Rybp
Rnf2,Cbx7
Pcgf1,Kdm2b
Pcgf1,Rnf2
Pcgf1,Rybp
Mapt,Syvn1
Mapt,Vcp
Vcp,Mapt
Sqstm1,Ar
Sqstm1,Map1lc3a
Ar,Sqstm1
Sqstm1,Ubc
Trip12,Sox6
Smad7,Cblb
Kl,Trpv5
Trpv5,Kl
Cdk4,Ccnd1
Ccnd1,Cdk4
Fbxl12,Camk1
Camk1,Fbxl12
Fbxl12,Camk1
Mcl1,Pmaip1
Bcl2a1a,Pmaip1
Map3k7,Sash1
Ikbkb,Sash1
Prkdc,Vcp
Vcp,Prkdc
Dnmt1,Atm
Dnmt1,Kat5
Dnmt1,Uhrf1
Atm,Dnmt1
Atm,Kat5
Atm,Uhrf1
March5,Mfn2
March5,Mfn1
Atf4,Hif1a
Hif1a,Atf4
Atf4,Egln3
Hif1a,Egln2
Hif1a,Egln1
Hif1a,Egln3
Trp53,Rps26
Ndn,Epas1
Traf6,Itch
Traf6,Cyld
Cyld,Itch
Fas,Casp8
Fas,Fadd
Sumo3,Senp6
Senp6,Ikbkg
Cyld,Ikbkg
Ikbkb,Ikbkg
Ikbkg,Cyld
Pik3c3,Becn1
Stat3,Cyld
Traf6,Wwp1
Ptgs2,Nos2
Ubc,Vcp
Fbxl19,Rhoa
Fbxl19,Rhoa
Rbx1,Ube2g2
Rbx1,Ube2d1
Nanog,Sall4
Nanog,Mta2
Nanog,Sox2
Bcl2l11,Bcl2
Bcl2,Bcl2l11
Tceb1,Tceb2
Ikbkg,Chuk
Ikbkg,Ikbkb
Skp2,E2f1
Skp2,Skp1a
Skp2,Cul1
E2f1,Crebbp
E2f1,Kat2a
E2f1,Smarca4
Nanog,Nacc1
Nanog,Polr2a
Sox2,Nanog
Hsp90b1,Mllt3
Hspa1b,Mllt3
Stip1,Mllt3
Egfr,Cbl
Egfr,Grb2
Egfr,Ppp1r13b
Egfr,Ptpn11
Cbl,Egfr
Egfr,Erbb2
Egfr,Sos1
Nrp1,Sema3a
Nrp1,Plxna2
Dok1,Inpp5d
Inpp5d,Dok1
Dok1,Inpp5d
Inpp5d,Dok1
Inpp5d,Abl1
Abl1,Inpp5d
Dok1,Pik3r1
Crkl,Inpp5d
Crkl,Cbl
Crkl,Pik3r1
Inpp5d,Crkl
Crkl,Inpp5d
Inpp5d,Crkl
Ryr2,Calm1
Spi1,Jun
Spi1,Jun
Ep300,Etv4
Nos1,Dmd
Dmd,Nos1
Pla2g4a,Vim
Nanog,Brms1
Nanog,Mga
Nanog,Sap130
Nanog,Kmt2b
Nanog,Chd7
Nanog,Csnk2a1
Nanog,Tpx2
Nanog,Asun
Nanog,0610010K14Rik
Nanog,Dffb
Nanog,Sec16a
Nanog,Etl4
Nanog,Sall4
Nanog,Esrrb
Nanog,Nacc1
Nanog,Nr0b1
Nanog,Myef2
Nanog,Sall1
Nanog,Zfp281
Nanog,Sox2
Nanog,Zfp42
Nanog,Arid3b
Nanog,Smarca5
Nanog,Zfp462
Nanog,Zfp219
Nanog,Cxxc5
Nanog,Rex2
Nanog,Bptf
Nanog,Ubtf
Nanog,Zbtb2
Nanog,Zfp326
Nanog,Sall3
Nanog,Zic3
Nanog,Zfp609
Nanog,Bnc2
Nanog,Patz1
Nanog,Fiz1
Nanog,Arid5b
Nanog,Klf5
Nanog,Zbtb34
Nanog,Grhl2
Nanog,Mbd3
Nanog,Gatad2a
Nanog,Gatad2b
Nanog,Mta2
Nanog,Mta3
Nanog,Chd4
Nanog,Mta1
Nanog,Mbd2
Nanog,Yeats4
Nanog,Dmap1
Nanog,Trrap
Nanog,Vps72
Nanog,Ep400
Nanog,Brd8
Nanog,Rnf2
Nanog,Rybp
Nanog,Phc1
Nanog,Pcgf6
Nanog,Mbtd1
Nanog,Ezh2
Nanog,Cbx3
Nanog,L3mbtl2
Nanog,Max
Nanog,Ehmt1
Nanog,Ehmt2
Nanog,Sin3a
Nanog,Hcfc1
Nanog,Ncor1
Nanog,Tbl1xr1
Nanog,Tbl1x
Nanog,Hdac3
Nanog,Kdm1a
Nanog,Zmym2
Nanog,Ash2l
Nanog,Kat8
Nanog,Rbbp5
Nanog,Men1
Nanog,Kmt2c
Nanog,Morf4l1
Nanog,Rcor2
Nanog,Hist1h1c
Nanog,Wiz
Nanog,Cnot1
Nanog,Tet1
Nanog,Hira
Nanog,Arid1a
Nanog,Bcor
Nanog,Wdr82
Nanog,Taf9
Nanog,Supt6
Nanog,Ints1
Nanog,Polr2a
Nanog,Polr2b
Nanog,Akap8
Nanog,Csnk1a1
Nanog,Ppp2r1a
Nanog,Stub1
Nanog,Uchl5
Nanog,Rangap1
Nanog,Psmd11
Nanog,Ranbp2
Nanog,Raly
Nanog,Hnrnph2
Nanog,Ilf3
Nanog,Exosc6
Nanog,Rbm4b
Nanog,Dhx9
Nanog,Rbfox2
Nanog,Zcchc8
Nanog,Ddx1
Nanog,Pum1
Nanog,Wdr33
Nanog,Ints4
Nanog,Mov10
Nanog,Pum2
Nanog,Rfc4
Nanog,Mad1l1
Nanog,Gtse1
Nanog,Orc5
Nanog,Sgol2
Nanog,Smc3
Nanog,Pogz
Nanog,Msh6
Nanog,Brca1
Nanog,2210018M11Rik
Nanog,Brca2
Nanog,Dnaja1
Nanog,Dcaf7
Nanog,Sec13
Nanog,Dpf2
Nanog,Dnttip1
Nanog,Zfr
Nanog,Kpna2
Nanog,Qser1
Nanog,Elmsan1
Nutf2,Ran
Nutf2,Nup62
Smurf2,Smad1
Smurf2,Runx2
Nmi,Irf7
Rnf180,Maoa
Maoa,Rnf180
Trim72,Ube2h
Ube2h,Trim72
P2rx4,P2rx7
Pctp,Acot13
Pctp,Pax3
Pctp,Acot13
Pctp,Pax3
Fbxw7,Skp1a
Traf2,Mavs
Traf6,Mavs
Traf5,Mavs
Ikbkg,Mavs
Ikbkg,Traf2
Ikbkg,Nfkbia
Hsp90ab1,Hdac6
Hsp90ab1,Hsf1
Traf6,Akt1
Traf6,Ppp1r15a
Ddx58,Tbk1
Traf6,Rptor
Traf6,Mtor
Syk,Traf3
Syk,Traf6
Syk,Map3k7
Syk,Tbk1
Syk,Tlr4
Traf6,Syk
Traf6,Tlr4
Traf3,Syk
Prkaca,Pnpla2
Rasa1,Khdrbs1
Khdrbs1,Rasa1
Tec,Dok1
Dok1,Tec
Tec,Dok1
Tec,Plcg1
Tec,Dok1
Abl1,Dok1
Lyn,Dok1
Syk,Dok1
Ptk2b,Dok1
Abhd5,Pnpla2
Abhd5,Plin1
Snta1,Adra1d
Snta1,Utrn
Sp1,Sp3
Rasa1,Dok1
Hnrnpa0,Cxcl2
Hnrnpa0,Ptgs2
Hnrnpa0,Tnf
Mapkapk2,Hnrnpa0
Myo5b,Rab11fip2
Rab11fip2,Myo5b
Rab11fip2,Myo5b
Yap1,Smad2
Wwtr1,Smad2
Smad2,Smad4
Smad3,Smad4
Smad2,Yap1
Smad3,Yap1
Wwtr1,Mpp5
Wwtr1,Lats1
Wwtr1,Yap1
Wwtr1,Ywhae
Mpp5,Yap1
Lin7c,Yap1
Inadl,Yap1
Amot,Yap1
Mpp5,Wwtr1
Lin7c,Wwtr1
Inadl,Wwtr1
Amot,Wwtr1
Ptgs1,Nucb1
Ptgs2,Nucb1
Ptgs1,Nucb1
Ptgs2,Nucb1
Snx27,Abcc4
Abhd5,Pnpla2
Abhd5,Plin1
Abhd5,Pnpla2
Pnpla2,Plin5
Pnpla2,Plin5
Ptgir,Gnas
Ptgir,Gnai1
Ptgir,Gna11
Mllt3,Rnf2
Mllt3,Rnf2
Otub1,Smad2
Otub1,Smad3
Aurkb,Rnf2
Aurkb,Bmi1
Aurkb,Cbx7
Rnf2,Aurkb
Aurkb,Usp16
Dlg4,Pik3c2a
Pparg,Usp7
Dnmt1,Uhrf1
Casp9,Jun
Vhl,Rbx1
Vhl,Tceb1
Arhgap1,Rac1
Arhgap22,Rac1
Arhgap1,Cdc42
Arhgap1,Rhoa
Arhgap1,Rac1
Arhgap22,Rac1
Arhgap22,Vezf1
Vezf1,Arhgap22
Vezf1,Arhgap22
Casp7,Ptges3
Casp7,Rock1
Casp7,Arhgdia
Casp3,Rock1
Casp3,Arhgdia
Casp3,Bid
Casp3,Sptan1
Casp3,Ctnnb1
Agtr1a,Agtrap
Agtr1a,Agtrap
Agtr1a,Agtrap
Dnmt3a,Ptges3
Ptges3,Dnmt3a
Dvl2,Gabarapl1
Foxp3,Stub1
Stub1,Foxp3
Foxp3,Hspa1b
Hspa1b,Foxp3
Trim25,Ddx58
Notch1,Egfl7
Notch2,Egfl7
Notch3,Egfl7
Notch4,Egfl7
Ptges3,Kat2a
Ptpn11,Sirpa
Fcgr2b,Dok1
Pparg,Ncoa2
Ptger1,Drd1
Drd1,Ptger1
Agtr1a,Agt
Tbk1,Azi2
Tbk1,Mib1
Gzmb,Casp3
Gzmb,Casp7
Apex1,Mutyh
Trpv1,Akap5
Trpv1,Prkaca
Phyh,Acsl6
Lrrk2,Hsp90aa1
Lrrk2,Ywhaq
Ywhaq,Lrrk2
Grm5,Calm1
Prkca,Grm5
Map1lc3a,Trim55
Sqstm1,Trim55
Snap23,Chuk
Snap23,Ikbkb
Traf6,Arrb2
Traf6,Map3k7
Akt1,Hsp90ab1
Akt1,Hsp90aa1
Hyou1,Sec61a1
Hyou1,Stub1
Hyou1,Vcp
Hyou1,Hspa5
Sec61a1,Hyou1
Sec61a1,Stub1
Sec61a1,Vcp
Hspa5,Hyou1
Stub1,Hyou1
Vcp,Hyou1
Sec61a1,Pmel
Eid1,Mdm2
Eid1,Pcid2
Ern2,Ppp2ca
Ppp2ca,Ern2
Znrf3,Rspo2
Atg3,Atg12
Atg3,Atg7
Tirap,Tnfsf9
Ptpn11,Itsn1
Ptpn11,Itsn1
Stub1,Il4ra
Il4ra,Stub1
Stub1,Hspa1b
Il4ra,Hspa1b
Tpx2,Chuk
Tpx2,Btrc
Btrc,Tpx2
Nfkb2,H3f3a
H3f3a,Hdac3
H3f3a,Hdac5
Hdac3,H3f3a
Cdh1,Skp2
Skp2,Cdh1
Lrp5,Axin1
Lrp5,Axin1
Amph,Dnm2
Gap43,Calm1
Cdk4,Hsp90aa1
Cdk4,Cdc37
Cebpa,Cdk4
Hsp90aa1,Cdk4
Csnk2b,Tcte3
Cd247,Ptpn6
Traf6,Trafd1
Trafd1,Traf6
Hck,Cbl
Pdx1,Pcif1
Tfap2a,Rnf20
Rnf20,Tfap2a
Rnf20,Tfap2a
Usp18,Isg15
E2f4,Id2
Usp1,Id2
Id2,Usp1
Map3k7,Traf6
Csk,Itgb3
Kcnmb1,Trim63
Trim63,Kcnmb1
Trim63,Kcnmb1
Prdx1,Ube3a
Wwp2,Smarcc1
Wwp2,Smarcc1
Smarcc1,Wwp2
Wwp2,Smarcc1
Wwp2,Smarcc1
Tmub1,Gria2
Tmub1,Grip1
Trp53bp1,Rnf168
Rnf168,Trp53bp1
Rnf168,Mdc1
Mdc1,Rnf168
Rnf168,Trp53bp1
Mdc1,Trp53bp1
Trp53bp1,Mdc1
Rnf31,Vcp
Rnf31,Vcp
Rnf31,Otulin
Rnf31,Cyld
Rnf31,Otulin
Rnf31,Cyld
Rnf31,Cyld
Rnf31,Otulin
Rnf31,Rbck1
Rnf31,Sharpin
Tnfrsf1a,Rnf31
Faf1,Vcp
Faf1,Vcp
Suz12,Eed
Suz12,Ezh2
Ezh2,Suz12
Asxl2,Suz12
Asxl2,Ezh2
Cul5,Bcar1
Socs6,Bcar1
Atxn2,Sh3kbp1
Atxn2,Cbl
Atxn2,Src
Raf1,Hras
Pik3r1,Hras
Neil2,Keap1
Keap1,Nfe2l2
Keap1,Nfe2l2
Keap1,Nfe2l2
Igsf5,Lnx1
Igsf5,Lnx1
Igsf5,Numb
Igsf5,Lnx1
Igsf5,Numb
Map1lc3b,Atg10
Atg10,Map1lc3b
Atg10,Map1lc3b
Map1lc3b,Atg10
Rchy1,Trp53
Homer3,Grm1
Htt,Sqstm1
Htt,Hspa1b
Htt,Hsp90ab1
Cacna1b,Map1lc3b
Traf6,Stub1
Stub1,Traf6
Smad2,Smad4
Tube1,Map3k7
Ikbkg,Rnf31
Tnf,Rnf31
Tnf,Ikbkg
Tnf,Ripk1
Tnf,Tradd
Tnf,Tnfrsf1a
Mdm4,Ywhag
Pik3r1,Jup
Pik3r1,Akt1
Jup,Pik3r1
Jup,Insr
Insr,Jup
Crls1,Pink1
Crls1,Fbxo15
Cdc20,Fez1
Hdac11,Bub1b
Fez1,Cdc20
Cdc20,Bub1b
Hdac11,Hdac6
Hdac11,Cdc20
Hdac11,Bub1b
Pa2g4,Pik3r1
Pik3r1,Pa2g4
Pik3ca,Pik3r1
Herc2,Trp53
Cpt1a,Bcl2
Bcl2,Cpt1a
Bax,Bcl2
Srebf1,Rnf20
Rnf20,Srebf1
Ndfip1,Nedd4l
Nedd4l,Ndfip1
Cdkn1a,Pcna
Skp2,Skp1a
Skp2,Cul1
Fbxl16,Skp1a
Fbxl16,Ppp2r1a
Ppp2r2a,Fbxl16
Fbxl16,Ppp2r1a
Fbxl16,Ppp2cb
Fbxl16,Ppp2r2a
Ppp2cb,Ppp2r1a
Ppp2cb,Ppp2r2a
Traf6,Plekho1
Plekho1,Gsk3b
Uhrf1,Parp1
Uhrf1,Dnmt1
Parp1,Dnmt1
Parp1,Uhrf1
Xbp1,Tcl1
Tbx21,Bcl6
Cd27,Traf2
Irf4,Stat3
Cd79a,Cd79b
Rnf25,Ube2d2a
Ube2d2a,Rnf25
Rnf25,Ube2l3
Rnf25,Ube2e3
Rnf25,Ube2e1
Rnf25,Ube2d2a
Havcr2,Bag6
Havcr2,Bag6
Fbxo43,Cdc20
Cdc20,Fbxo43
Rhbdd3,Ikbkg
Ikbkg,Rhbdd3
Ikbkg,Rhbdd3
Rhbdd3,Ikbkg
Rhbdd3,Tnfaip3
Ikbkg,Tnfaip3
Ikbkg,Tnfaip3
Tnfaip3,Ikbkg
Maged1,Pias1
Magel2,Pias1
Ndn,Pias1
Ndnl2,Nsmce1
Ndn,Trp53
Pias1,Ndn
Trp53,Ndn
Park2,Becn1
Park2,Actb
Usp14,Ern1
Vapb,Vcp
Vapb,Faf1
Vapb,Rab3gap1
Vapb,Asna1
Vapb,Wdr44
App,Ranbp9
Lrp1,Ranbp9
Vapb,Stx1b
Vapb,Stx1a
Hmbs,Ranbp9
Ikbke,Ubc
Uhrf1,Dnmt1
H3f3a,Uhrf1
H3f3a,Uhrf1
Ezh2,Suz12
Ezh2,Eed
Ezh2,Brca1
Brca1,Ezh2
Brca1,Suz12
L1cam,Ranbp9
Rnf128,Trp53
Trp53,Rnf128
Fmr1,Ranbp9
Trim3,Cdkn1a
Trim3,Cdkn1a
Parp1,Trim33
Bcl11a,Nr2e1
Hmg20a,Brap
Numa1,Brap
Syne2,Brap
Brap,Numa1
Brap,Syne2
Cops5,Ranbp9
Ranbp9,Cops5
Ets1,Prdm1
Ets2,Prdm1
Spi1,Prdm1
Ets1,Prdm1
Prdm1,Ets1
Mafk,Bach2
Mafk,Bach2
Prnp,Dpp6
Dpp6,Prnp
Dpp6,Prnd
Jak1,Socs3
Jak1,Socs5
Jak1,Socs1
Jak2,Socs5
Socs5,Jak1
Socs5,Tyk2
Vcp,Htt
Vcp,Atxn1
Nav1,Trio
Trio,Nav1
Becn1,Park2
Park2,Becn1
Ikbkg,Arhgdia
Ikbkg,Chuk
Ikbkg,Ikbkb
Ikbkg,Rhoa
Ikbkb,Chuk
Ikbkb,Ikbkg
Ikbkb,Rhoa
Sox9,Zbtb7a
Ppp2ca,Kctd20
Akt1,Kctd20
Akt2,Kctd20
Kmt2c,H3f3a
Setd1a,H3f3a
Setd1b,H3f3a
Setd1a,Setd1b
Derl2,Vcp
Per2,Cry1
Per2,Cry2
Cry2,Per2
Cry1,Clock
Cry1,Arntl
Cry1,Per1
Cry1,Per2
Wwp2,Sox2
Akt1,Sox2
Traf3,Cd40
Traf3,Nedd4
Nedd4,Cd40
Nedd4,Traf3
Nedd4,Traf2
Cd40,Nedd4
Cd40,Traf3
Cd40,Traf2
Cd40,Ppp1r13b
Ppp1r13b,Traf3
Traf3,Ppp1r13b
Klhl40,Neb
Klhl40,Nrap
Klhl40,Iqgap1
Klhl40,Kank2
Klhl40,Klhl41
Klhl40,Lmod3
Klhl40,Tuba1b
Klhl40,Tubb1
Klhl40,Gapdh
Klhl40,Slc25a2
Klhl40,Myl12a
Klhl40,Acta1
