lncRNA_id,Score,Pre Label
lENSMUSG00000097311,1.0684318554084413,1
lNONMMUG018843,1.2661934754600068,1
lENSMUSG00000063623,0.9140990226571333,1
lENSMUSG00000087349,0.9420001277189485,1
lENSMUSG00000096993,1.0645950739705015,1
lNONMMUG017792,1.3278226247050569,1
lENSMUSG00000100130,1.036963758804255,1
lENSMUSG00000086370,1.0446882000869309,1
lENSMUSG00000107802,1.0229746474691481,1
lENSMUSG00000096944,1.0592991969474994,1
lNONMMUG045607,1.5072156210167336,1
lENSMUSG00000010492,1.0875219572117558,1
lENSMUSG00000097248,1.0240859574173058,1
lNONMMUG012790,1.1848332235010375,1
lENSMUSG00000085754,1.03226046612523,1
lNONMMUG034272,1.2849902598556397,1
lNONMMUG022455,1.444152151503424,1
lENSMUSG00000097111,1.0573201538203492,1
lNONMMUG037106,0.5525313998715902,1
lNONMMUG024382,1.2419630656219525,1
lENSMUSG00000086807,1.1719010473829812,1
lENSMUSG00000107318,1.069818431366734,1
lENSMUSG00000074149,1.6258191049382091,1
lNONMMUG033341,1.3451788534520475,1
lENSMUSG00000085720,1.0203264330190862,1
lENSMUSG00000087495,0.9383234003463983,1
lENSMUSG00000099146,0.9994665998984757,1
lNONMMUG040092,0.9890560678727738,1
lENSMUSG00000085237,1.0735176904000028,1
lNONMMUG031369,1.1928357124141158,1
lENSMUSG00000087178,1.1391239633800936,1
lTcf4,-0.3810998686392182,0
lENSMUSG00000097893,1.0247956526491109,1
lENSMUSG00000086762,1.0417604864877248,1
lFrmd4a,0.9098814280933212,1
lNONMMUG004307,1.1449120819720733,1
lENSMUSG00000102009,1.618460038306445,1
lENSMUSG00000096938,1.0277086785900806,1
lNONMMUG003978,1.2452553722219832,1
lNONMMUG019271,1.1341600385115456,1
lNONMMUG023357,1.110893935037815,1
lENSMUSG00000108782,1.1065838102732428,1
lENSMUSG00000085334,1.096904000907223,1
lENSMUSG00000087264,1.0043082174108022,1
lNONMMUG014644,-0.44440626410023043,0
lNONMMUG036291,1.1567783751706386,1
lENSMUSG00000086433,1.025763629327848,1
lENSMUSG00000029447,1.0354797664798738,1
lENSMUSG00000093378,1.0826326288925898,1
lENSMUSG00000085303,1.033193555613387,1
lNONMMUG024209,1.1654506491780054,1
lNONMMUG032702,1.4741670708457875,1
lNONMMUG031014,1.099728874315609,1
lENSMUSG00000105020,0.9700913036163215,1
lENSMUSG00000037982,0.9200858372899958,1
lENSMUSG00000087115,1.052619581349198,1
lENSMUSG00000092386,1.0626384240281013,1
lENSMUSG00000085998,0.952524899223171,1
lNeat1,1.4660527917953985,1
lNONMMUG040964,0.9434664036307439,1
lNONMMUG013980,1.3681286883693744,1
lENSMUSG00000090098,1.024502008538569,1
lNONMMUG008000,1.0058577689532555,1
lENSMUSG00000100632,1.0206361304699172,1
lENSMUSG00000097462,1.0846319618805822,1
lCtbp2,0.10231864370408772,1
lNONMMUG023513,1.1843420234047315,1
lENSMUSG00000074813,0.9400048189146943,1
lENSMUSG00000097048,0.9742450322766061,1
lENSMUSG00000087644,1.0272356357884078,1
lNONMMUG045195,1.3198860198600713,1
lENSMUSG00000109097,1.0563994025280081,1
lENSMUSG00000097211,0.9588473910950981,1
lENSMUSG00000097415,1.0761772611758786,1
lNONMMUG007279,1.1893848330020163,1
lENSMUSG00000087594,1.098535190559069,1
lENSMUSG00000096056,1.0411726312010572,1
lNONMMUG024854,0.9705548729957414,1
lNONMMUG016528,-0.18417861077505648,0
lENSMUSG00000108511,0.9918250535381148,1
lNONMMUG012555,-0.13117035803417565,0
lENSMUSG00000073144,1.0409683005109756,1
lENSMUSG00000106245,0.9982579837582435,1
lNONMMUG018239,1.1586324446462513,1
lENSMUSG00000099510,0.8907050076392196,1
lNONMMUG025755,-0.2962612635534114,0
lENSMUSG00000108171,1.031077959252336,1
lNONMMUG021882,1.023415012573416,1
lENSMUSG00000100583,1.0377238080646478,1
lSox2ot,1.2862691576569105,1
lNONMMUG018225,1.1160526922303902,1
lNONMMUG045528,1.333199646834096,1
lNONMMUG024695,1.2947419599185181,1
lENSMUSG00000090208,0.9862016369863724,1
lENSMUSG00000097725,0.9953381003416055,1
