lncRNA_id,identifier,gene_name,gene_id
lAC027323.1,AC027323.1,AC027323.1,
lAC034110.1,AC034110.1,AC034110.1,
lAC040934.1,AC040934.1,AC040934.1,
lAC058791.1,AC058791.1,AC058791.1,NONHSAG048819
lAC058791.2,AC058791.2,AC058791.2,NONHSAG048820
lAC061992.2,AC061992.2,AC061992.2,NONHSAG022887
lAC064834.3,AC064834.3,AC064834.3,NONHSAG030141
lAC064853.4,AC064853.4,AC064853.4,
lAC068138.1,AC068138.1,AC068138.1,NONHSAG030681
lAC068152.2,AC068152.2,AC068152.2,
lAC068282.3,AC068282.3,AC068282.3,NONHSAG029187
lAC068473.1,AC068473.1,AC068473.1,
lAC068491.1,AC068491.1,AC068491.1,
lAC068587.3,AC068587.3,AC068587.3,
lAC068831.10,AC068831.10,AC068831.10,NONHSAG017897
lAC068831.8,AC068831.8,AC068831.8,
lAC069146.2,AC069146.2,AC069146.2,
lAC069214.1,AC069214.1,AC069214.1,
lAC069277.2,AC069277.2,AC069277.2,NONHSAG034337
lAC069278.4,AC069278.4,AC069278.4,
lAC069363.1,AC069363.1,AC069363.1,NONHSAG021579
lAC073128.10,AC073128.10,AC073128.10,NONHSAG030548
lAC073150.6,AC073150.6,AC073150.6,NONHSAG047212
lAC073218.1,AC073218.1,AC073218.1,
lAC073257.2,AC073257.2,AC073257.2,NONHSAG029113
lAC073264.10,AC073264.10,AC073264.10,NONHSAG049042
lAC073316.1,AC073316.1,AC073316.1,NONHSAG046822
lAC073321.3,AC073321.3,AC073321.3,NONHSAG030482
lAC073321.5,AC073321.5,AC073321.5,
lAC073343.13,AC073343.13,AC073343.13,NONHSAG046887
lAC073636.1,AC073636.1,AC073636.1,NONHSAG029923
lAC073850.6,AC073850.6,AC073850.6,NONHSAG048087
lAC073995.2,AC073995.2,AC073995.2,
lAC074093.1,AC074093.1,AC074093.1,
lAC074138.3,AC074138.3,AC074138.3,NONHSAG025663
lAC074286.1,AC074286.1,AC074286.1,NONHSAG029934
lAC074391.1,AC074391.1,AC074391.1,NONHSAG027998
lAC078883.3,AC078883.3,AC078883.3,NONHSAG029831
lAC078937.4,AC078937.4,AC078937.4,
lAC078941.1,AC078941.1,AC078941.1,NONHSAG028037
lAC079354.3,AC079354.3,AC079354.3,
lAC079610.2,AC079610.2,AC079610.2,
lAC079767.2,AC079767.2,AC079767.2,
lAC079807.4,AC079807.4,AC079807.4,NONHSAG027711
lAC083843.1,AC083843.1,AC083843.1,NONHSAG051357
lAC083843.2,AC083843.2,AC083843.2,NONHSAG051359
lAC083883.1,AC083883.1,AC083883.1,
lAC087393.1,AC087393.1,AC087393.1,
lAC087465.1,AC087465.1,AC087465.1,
lAC087590.3,AC087590.3,AC087590.3,
lAC090421.1,AC090421.1,AC090421.1,
lAC090505.4,AC090505.4,AC090505.4,
lAC090587.2,AC090587.2,AC090587.2,
lAC090939.1,AC090939.1,AC090939.1,
lAC090952.5,AC090952.5,AC090952.5,NONHSAG034504
lAC091047.1,AC091047.1,AC091047.1,
lAC091153.1,AC091153.1,AC091153.1,
lAC091167.2,AC091167.2,AC091167.2,
lAC091199.1,AC091199.1,AC091199.1,
lAC091565.1,AC091565.1,AC091565.1,NONHSAT040810
lAC091729.7,AC091729.7,AC091729.7,
lAC091736.10,AC091736.10,AC091736.10,NONHSAG048885
lAC091878.1,AC091878.1,AC091878.1,NONHSAG039984
lAC092031.1,AC092031.1,AC092031.1,
lAC092171.1,AC092171.1,AC092171.1,
lAC092295.5,AC092295.5,AC092295.5,
lAC092295.7,AC092295.7,AC092295.7,NONHSAG025656
lAC092296.1,AC092296.1,AC092296.1,NONHSAT065997
lAC092329.1,AC092329.1,AC092329.1,NONHSAT063862
lAC092431.1,AC092431.1,AC092431.1,
lAC092570.3,AC092570.3,AC092570.3,NONHSAG028736
lAC092594.1,AC092594.1,AC092594.1,NONHSAG027124
lAC092755.4,AC092755.4,AC092755.4,
lAC092835.2,AC092835.2,AC092835.2,
lAC093158.1,AC093158.1,AC093158.1,
lAC093323.3,AC093323.3,AC093323.3,
lAC093415.2,AC093415.2,AC093415.2,NONHSAG034776
lAC093484.6,AC093484.6,AC093484.6,
lAC093510.1,AC093510.1,AC093510.1,NONHSAG040995;NONHSAG040993
lAC093510.2,AC093510.2,AC093510.2,
lAC093627.10,AC093627.10,AC093627.10,NONHSAG046715
lAC093627.12,AC093627.12,AC093627.12,NONHSAG046721
lAC093734.11,AC093734.11,AC093734.11,
lAC093799.1,AC093799.1,AC093799.1,
lAC093818.1,AC093818.1,AC093818.1,NONHSAG029832
lAC096559.1,AC096559.1,AC096559.1,NONHSAG027025
lAC096579.7,AC096579.7,AC096579.7,
lAC096649.1,AC096649.1,AC096649.1,NONHSAG029893
lAC096921.2,AC096921.2,AC096921.2,NONHSAG034675
lAC097382.5,AC097382.5,AC097382.5,NONHSAG037409
lAC097500.1,AC097500.1,AC097500.1,NONHSAG030042
lAC097500.2,AC097500.2,AC097500.2,NONHSAG030043
lAC097532.1,AC097532.1,AC097532.1,
lAC098617.1,AC098617.1,AC098617.1,NONHSAG030124
lAC098691.1,AC098691.1,AC098691.1,
lAC098826.5,AC098826.5,AC098826.5,NONHSAG029330
lAC098971.2,AC098971.2,AC098971.2,
lAC100748.2,AC100748.2,AC100748.2,
lAC103563.8,AC103563.8,AC103563.8,NONHSAG028560
lAC103564.7,AC103564.7,AC103564.7,
lAC103810.1,AC103810.1,AC103810.1,
lAC103810.2,AC103810.2,AC103810.2,
lAC104563.1,AC104563.1,AC104563.1,
lAC105760.2,AC105760.2,AC105760.2,NONHSAG030893
lAC105760.3,AC105760.3,AC105760.3,
lAC106870.2,AC106870.2,AC106870.2,
lAC107079.1,AC107079.1,AC107079.1,NONHSAG030897
lAC107622.1,AC107622.1,AC107622.1,NONHSAG034583
lAC108134.5,AC108134.5,AC108134.5,
lAC109315.1,AC109315.1,AC109315.1,
lAC110491.1,AC110491.1,AC110491.1,
lAC113191.1,AC113191.1,AC113191.1,
lAC114730.3,AC114730.3,AC114730.3,NONHSAG031055
lAC114730.8,AC114730.8,AC114730.8,NONHSAG031049
lAC114755.3,AC114755.3,AC114755.3,NONHSAG028838
lAC114772.1,AC114772.1,AC114772.1,
lAC115115.2,AC115115.2,AC115115.2,
lAC116351.1,AC116351.1,AC116351.1,ENSG00000203594
lAC116609.2,AC116609.2,AC116609.2,NONHSAG026789
lAC116609.3,AC116609.3,AC116609.3,NONHSAG026787
lAC124789.1,AC124789.1,AC124789.1,
lAC128709.2,AC128709.2,AC128709.2,NONHSAG037148
lAC129778.7,AC129778.7,AC129778.7,NONHSAG052285
lAC129929.5,AC129929.5,AC129929.5,NONHSAG007422
lAC131025.8,AC131025.8,AC131025.8,
lAC131056.3,AC131056.3,AC131056.3,
lAC131971.3,AC131971.3,AC131971.3,
lAC133633.2,AC133633.2,AC133633.2,NONHSAG049382
lAC135048.13,AC135048.13,AC135048.13,
lAC135352.2,AC135352.2,AC135352.2,
lAC137723.5,AC137723.5,AC137723.5,NONHSAG023050
lAC137932.5,AC137932.5,AC137932.5,NONHSAG020338
lAC137932.6,AC137932.6,AC137932.6,NONHSAG020340
lAC138430.4,AC138430.4,AC138430.4,
lAC138655.6,AC138655.6,AC138655.6,
lAC138783.11,AC138783.11,AC138783.11,NONHSAG047987
lAC138969.4,AC138969.4,AC138969.4,NONHSAG018726
lAC139530.1,AC139530.1,AC139530.1,NONHSAT056538
lAC141846.4-001,AC141846.4-001,AC141846.4-001,
lAC142293.3,AC142293.3,AC142293.3,NONHSAG038203
lAC144449.1,AC144449.1,AC144449.1,NONHSAG029514
lAC145098.1,AC145098.1,AC145098.1,
lAC156455.1,AC156455.1,AC156455.1,NONHSAG012565
lAC159540.2,AC159540.2,AC159540.2,
lACA64,ACA64,ACA64,NONHSAT007120
lACAA1,ACAA1,ACAA1,NONHSAG034787;NONHSAG034785
lACAA2,ACAA2,ACAA2,NONHSAG023843
lACACA,ACACA,ACACA,NONHSAG021626
lACACB,ACACB,ACACB,NONHSAG012237;NONHSAG012238
lACAD10,ACAD10,ACAD10,NONHSAG012309
lACAD8,ACAD8,ACAD8,NONHSAG010104
lACAD9,ACAD9,ACAD9,NONHSAG036031
lACADL,ACADL,ACADL,NONHSAG030404;NONHSAG030405
lACADM,ACADM,ACADM,NONHSAG001851
lACADSB,ACADSB,ACADSB,NONHSAG007084
lACADVL,ACADVL,ACADVL,NONHSAG020693;NONHSAG020694;NONHSAG020692
lACAN,ACAN,ACAN,NONHSAG017805
lACAP1,ACAP1,ACAP1,NONHSAG020706
lACAP2,ACAP2,ACAP2,NONHSAG037053
lACAP3,ACAP3,ACAP3,NONHSAG000087;NONHSAG000088;NONHSAG000086
lACAT1,ACAT1,ACAT1,NONHSAG009540;NONHSAG009541
lACAT2,ACAT2,ACAT2,NONHSAG045301;NONHSAG045302;NONHSAG045303
lACBD3,ACBD3,ACBD3,NONHSAG004472
lACBD4,ACBD4,ACBD4,NONHSAG021965
lACCN1,ACCN1,ACCN1,
lACCN4,ACCN4,ACCN4,
lACCS,ACCS,ACCS,NONHSAG008137
lACD,ACD,ACD,NONHSAG019760
lACE,ACE,ACE,NONHSAG022456
lACE2,ACE2,ACE2,NONHSAG054076
lACER3,ACER3,ACER3,NONHSAG009144
lACIN1,ACIN1,ACIN1,NONHSAG014481;NONHSAG014480;NONHSAG014482
lACKR5,ACKR5,ACKR5,NONHSAG034951
lACLY,ACLY,ACLY,NONHSAG021794
lACMSD,ACMSD,ACMSD,NONHSAG029360
lACN9,ACN9,ACN9,NONHSAG048271
lACO2,ACO2,ACO2,NONHSAG034012
lACOT13,ACOT13,ACOT13,NONHSAG043182
lACOT2,ACOT2,ACOT2,NONHSAG015423
lACOT7,ACOT7,ACOT7,NONHSAG000237
lACOT8,ACOT8,ACOT8,NONHSAG031876
lACOT9,ACOT9,ACOT9,NONHSAG054154
lACOX1,ACOX1,ACOX1,NONHSAG022792
lACOX2,ACOX2,ACOX2,NONHSAG035282;NONHSAG035280
lACOX3,ACOX3,ACOX3,NONHSAG037435
lACOXL,ACOXL,ACOXL,NONHSAG028934
lACP1,ACP1,ACP1,NONHSAG026756
lACP2,ACP2,ACP2,NONHSAG008230
lACPL2,ACPL2,ACPL2,NONHSAG036237;NONHSAG036236
lACSBG1,ACSBG1,ACSBG1,NONHSAG017554;NONHSAG017553
lACSF2,ACSF2,ACSF2,NONHSAG022184;NONHSAG022183
lACSF3,ACSF3,ACSF3,NONHSAG020320;NONHSAG020322
lACSL3,ACSL3,ACSL3,NONHSAG030645;NONHSAG030644
lACSL4,ACSL4,ACSL4,NONHSAG055094
lACSL5_RAT,ACSL5_RAT,ACSL5_RAT,
lACSL6,ACSL6,ACSL6,NONHSAG041503;NONHSAG041504;NONHSAG041502
lACSM1,ACSM1,ACSM1,NONHSAG018818
lACSM2A,ACSM2A,ACSM2A,NONHSAG018814
lACSS2,ACSS2,ACSS2,NONHSAG031659
lACSS3,ACSS3,ACSS3,NONHSAG011806
lACTA2,ACTA2,ACTA2,NONHSAG006475
lACTG2,ACTG2,ACTG2,NONHSAG028192
lACTL6A,ACTL6A,ACTL6A,NONHSAG036753
