protein,uniprot_id
SRA1,Hs.653135
AGBL5,-
PRIC285,Hs.517180
NBPF9,-
EIF3C,Hs.567374
SLC38A10,-
GOLGA6A,Hs.546408
ATP6V1C2,Hs.580464
RGS19,Hs.422336
IL18BP,Hs.591967
CHTF8,Hs.85962
NBPF10,-
ARAP1,Hs.503165
C16orf13,-
RUFY1,Hs.306769
CRCP,-
P2RY11,Hs.14468
HSF4,Hs.512156
BCL2L12,Hs.289052
KIAA0895L,Hs.651201
HIST2H2AA3,Hs.745563
MLPH,Hs.102406
MAZ,-
LTBP4,Hs.466766
PVRL2,Hs.655455
REC8,Hs.419259
SCYL1,-
UBTF,-
MYH14,Hs.467142
SLC25A45,-
GNAS,Hs.125898
TAC4,Hs.652130
APH1A,Hs.108408
TMEM134,-
XBP1,Hs.437638
RASA4,Hs.656696
CCDC88C,H0YJX5
ZNF629,Hs.301094
UNK,Hs.732048
LMTK3,Mm.44928
HSF5,Hs.380061
C11orf94,Hs.193741
LRRC4B,Hs.120873
PABPN1L,Hs.730522
TNRC18,Hs.520638
CCDC159,Hs.631636
PXN,-
KRT80,Hs.140978
DMPK,Hs.631596
ZGPAT,Hs.590868
CHMP1A,-
C10orf26,Hs.707763
TMEM22,Hs.477692
GPR89A,-
POLR2J2,Hs.732239
GPR89B,Hs.504320
SMARCD2,Hs.250581
CDK10,Hs.699177
PNPLA7,Hs.294147
AKT1S1,Hs.515542
RNF169,Hs.370145
FAM89B,Hs.731854
C18orf19,Q96ND0
TINF2,Hs.496191
PTMA,Hs.459927
EHBP1L1,Hs.502867
EIF3CL,Hs.535464
HOOK2,Hs.30792
C19orf76,Hs.607562
NBPF24,Hs.730358
SIKE,Hs.709277
NBPF16,Hs.656782
SYCE2,Hs.655173
TLK2,Hs.445078
ZNF276,-
UPK3BL,Hs.610255
AGAP2,Hs.302435
THTPA,Hs.655179
ORAI2,Hs.363308
CSK,Hs.77793
ACSF3,Hs.461727
CBX1,Hs.77254
BBC3,Hs.467020
SPG21,Hs.242458
FBLN7,Hs.437696
SULF1,Hs.409602
SLC39A13,Hs.523664
TPRN,Hs.323445
NUDT22,Hs.744098
SRRT,Hs.111801
CLK3,Hs.584748
KARS,-
NR1H3,Hs.438863
LTBP3,Hs.289019
SMARCC2,-
SRP9,Dm.6073
PSMB5,G8JLC2
NELF,Hs.455336
CIZ1,Hs.212395
ACP2,-
ARFRP1,Hs.389277
KLC2,-
DNAJB5,-
SIGIRR,-
PIP5K1A,Hs.661888
PHPT1,Hs.409834
DOLPP1,Hs.21701
FXYD3,Hs.301350
KLK11,Hs.57771
PUF60,Cel.16454
ZNF692,Hs.377705
DHRS1,Hs.348350
CPT1C,Hs.112195
ATF6B,Hs.42853
GRAMD1A,M0QZ12
AGER,Hs.534342
ANP32E,Hs.656466
LYSMD1,Hs.591482
EDC3,Hs.96852
CASKIN2,-
PIEZO1,Hs.377001
LTB4R,Hs.567248
BANF1,-
NDOR1,Hs.512564
CD58,-
DOK3,Hs.720849
TM6SF1,Hs.513094
EFCAB3,Hs.152670
PALM3,Hs.444298
Smad3,Hs.742270
RELA,Hs.502875
TMC4,Hs.355126
LRTOMT,-
ALDH16A1,Hs.719998
SETDB1,-
EHMT1,Hs.495511
GLG1,-
RDH13,Hs.731615
JPH4,Mm.19047
MBOAT7,-
MFSD10,-
RASGRP4,Hs.130434
KDM5C,Hs.631768
BNIPL,Hs.591473
FCHO1,Hs.96485
GYS1,Hs.386225
TMEM189,-
C17orf109,Hs.528605
C17orf110,Hs.662541
ZNF580,-
WDR81,Hs.234572
VSIG10L,-
EIF4ENIF1,Hs.517559
DOK7,Hs.122110
LTB4R2,Hs.657595
PYGM,Hs.154084
ACIN1,Hs.124490
SLC25A11,-
GDPD1,Hs.631744
SKA3,Hs.88523
CLCF1,Hs.502977
DHX40,Hs.29403
SPDYE2L,Hs.433879
TPBG,Hs.82128
NDUFB4,-
CUL7,Hs.520136
SAP25,Hs.633863
PCTK1,Hs.496068
LPPR2,Hs.6846
IFITM10,Hs.121575
CLCN2,Hs.436847
FAM131A,-
CAMTA2,-
CXorf40A,Hs.719441
FUZ,Hs.288800
CELF3,Hs.26047
RAB40C,-
SLC34A3,Hs.432442
SF1,Hs.502829
STAT6,Hs.524518
TSSK4,Hs.314432
PEX11B,-
ESYT1,Hs.632729
C9orf25,Hs.493771
KIAA0430,F8VVB8
NOL3,Hs.513667
ARHGDIA,Hs.599508
TMEM238,Hs.534672
FAM193B,-
SYTL1,Hs.469175
NUP62,Hs.574492
DIDO1,Hs.679107
UCKL1,Hs.695829
MAP3K12,-
ATF5,Hs.9754
POGZ,Hs.489873
EIF4G1,-
DDIT3,Hs.505777
C19orf81,Hs.531650
TRPM4,Hs.467101
IRF3,Hs.731922
HIRIP3,Hs.567370
ARNT,Hs.632446
ADCY4,Hs.443428
PI4KB,Hs.632465
RBM4,Hs.523822
PSMC5,Hs.79387
CEP112,Hs.408676
MYL6B,Hs.632731
MDP1,Hs.220963
NEDD8-MDP1,-
SH3GL1,Hs.97616
MDM4,Hs.715871
FLT3LG,Hs.428
SCNM1,Hs.732060
CHTOP,Hs.611057
KAT5,Hs.397010
TFR2,Hs.544932
RNF40,-
PRMT1,Hs.20521
C16orf3,Hs.633032
EIF1AD,Hs.425178
DEF8,H3BMT5
LOC100293534,-
KLHDC3,-
PDE8A,Hs.9333
B9D1,Hs.462445
CD2BP2,Hs.202677
SPIB,Hs.437905
STX5,Hs.654602
TAOK2,Hs.291623
ZBTB7B,Hs.729279
TRIM65,Hs.189823
ANKRD11,Hs.335003
ARAF,Hs.446641
KIF22,Hs.612151
KRT8,Hs.708445
TMPRSS3,Hs.208600
PTK6,Hs.51133
DENND2C,Hs.654928
PRRT2,Hs.655071
TRIM46,Hs.287735
NR1H2,Hs.432976
CHD2,Hs.220864
AP1S1,Hs.489365
CTSW,Hs.416848
DSCAM,Hs.397800
EEF1G,Hs.144835
CELSR2,-
EIF4B,Hs.702041
GAS8,Hs.431792
HAS1,Mm.255701
SLC29A2,Hs.736345
ABCA2,-
ADRBK1,-
CFB,Hs.69771
CENPB,Hs.516855
COX5B,Hs.1342
CTSD,-
CYC1,Hs.289271
EEF1A2,Hs.433839
FAU,-
GABPB1,H0YNZ0
GH2,Hs.406754
HMGB1,Hs.596078
HNRNPA1,Hs.655424
IGHMBP2,-
LRCH4,Hs.125742
LTBR,-
MC1R,Hs.513829
MAP3K3,J3QS19
MAP3K11,Hs.502872
NUDT1,Hs.534331
NRAS,-
NTSR1,Hs.590869
PBX2,Hs.718462
PDE2A,-
PFDN5,-
PFKL,Hs.255093
PLCG1,Hs.268177
PNN,Hs.409965
POLA2,-
POLD1,-
PSMB4,Hs.89545
PSMC3,Hs.250758
PSMD4,Hs.505059
PSMD7,Hs.440604
RDBP,Hs.423935
SLC10A1,Hs.952
SMARCD1,Hs.79335
SNRNP70,Hs.467097
SP2,Hs.514276
SPG7,Hs.185597
SUPT4H1,-
SURF1,Hs.512464
TCEA2,Hs.505004
NFE2L1,J3KSR3
TFF1,Hs.162807
TM7SF2,-
TPT1,Hs.374596
VGF,Hs.587325
ZAN,Hs.307004
ZFP36,Hs.534052
MZF1,Hs.399810
PAX8,Hs.469728
DOC2A,Hs.355281
PPFIA1,H0YDZ8
ITGA10,Hs.158237
PPFIA3,-
NOP14,Hs.627133
STC2,Hs.233160
SSNA1,Hs.530314
EIF4EBP3,Hs.594084
EIF3G,Hs.529059
EDF1,Hs.174050
GPAA1,Hs.627962
TNFRSF6B,Hs.434878
NAPA,-
GALR2,Hs.666366
AP1G2,Hs.569375
RPS6KB2,-
UBE2M,-
CLK2,Hs.73986
BDH1,-
AP2S1,Hs.119591
Fas,Hs.83190
NDUFB7,Hs.532853
DRG1,Hs.115242
STK19,Hs.654371
FIBP,Hs.7768
CYTH2,Hs.144011
RECQL4,-
RIN1,Hs.1030
CALR,Hs.515162
CTSH,Hs.148641
ENSA,Hs.632456
EPHB4,Hs.437008
BPTF,Hs.444200
FARSA,K7EPH2
GOLGA2,Hs.155827
HNRNPAB,-
