protein,uniprot_id
KLF2,Q9Y5W3
WDR5,P61964
hnRNPK,P61978
YY1,P25490
PP1A,ENSG00000172531
bFGF,ENSG00000138685
DNMT3b,Q9UBC3
FoxM1,Q08050
PU.1,ENSG00000066336
eIF4A3,P38919
PUM,P15941
BMI1,P35226
p65,O43245
DDR2,A0A024R906
NPM1,A0A0S2Z491
YAP1,P46937
HNRNPL,P14866
c-jun,ENSG00000177606
QKI-5,ENSG00000112531
BCL11A,Q9H165
HNF4α,ENSG00000101076
EGR1,P18146
PDK1,Q15118
Nrf2,ENSG00000116044
SAFA,Q00839
Sp1,P08047
ZNF703,Q9H7S9
DNMT3A,Q9Y6K1
DNMT3B,Q9UBC3
SIRT1,A0A024QZQ1
TXNIP,Q9H3M7
ICAT,Q9NSA3
COX-2,Q6ZYK7
KLF4,O43474
VGF,O15240
YB-1,Q15905
TDP43,A0A0A0N0L3
FoxO1,Q12778
HDAC1,Q13547
β-catenin,ENSG00000168036
NFκB1,ENSG00000109320
G9a,ENSG00000204371
NFATC3,Q12968
ERα,ENSG00000091831
MET,P08581
GADD45A,P24522
TET2,Q6N021
IKK,ENSG00000104365
IGF2BP2,Q9Y6M1
ACTL6A,O96019
GATA1,P15976
hnRNPU,Q00839
ETS1,P14921
c-Myc,Q16158
FKBP51,Q13451
pSmad2,ENSG00000175387
pSmad3,ENSG00000166949
HNRNPA2B1,P22626
p300,ENSG00000100393
EBP1,Q9UQ80
NF45,Q12905
NF90,Q12906
Ezh2,A0A090N8E9
USP7,Q93009
TCF21,O43680
YBX-1,ENSG00000065978
P-STAT3,ENSG00000168610
SFPQ,P23246
NONO,Q15233
FOXP2,O15409
GATA6,Q92908
ACO1,P21399
TRAF6,Q9Y4K3
ROCK1,Q13464
Dnmt1,P26358
Dnmt3a,Q9Y6K1
Dnmt3b,Q9UBC3
IGF2,P01344
FOXO3,O43524
DPP4,P27487
IRP1,Q9HBB2
AZGP1,P25311
HIF1A,D0VY79
CREB,Q92793
ARAP1,Q96P48
LEF1,Q9UJU2
PKA,-
Bcl-3,P20749
BOP1,Q14137
ONECUT2,O95948
RAF1,P04049
INO80,Q9ULG1
LDHA,P00338
eIF4A1,P60842
MYB,P10242
LGALS1,P09382
TP53,K7PPA8
CHUK,O15111
STAT5,P42229
MLL2,Q6PIA1
OTUB1,Q96FW1
TAB3,Q8N5C8
PABPC4,Q13310
ATG5,A9UGY9
ESR1,G4XH65
PPP2CA,P67775
RBBP4,Q09028
SRSF7,Q16629
EIF4A3,P38919
PRDX2,P32119
RAB7,P51149
PAK2,Q13177
TCF12,Q99081
NACA,Q13765
JNK,P45983
SIRT2,Q8IXJ6
TIAR,Q01085
BRD4,O60885
ALDOA,P04075
VIM,P08670
SOSTDC1,Q6X4U4
DBN1,Q16643
HOXA3,O43365
TPI,P60174
E2F6,O75461
EGFR,P00533
GFI1,Q99684
PTEN,F6KD01
PARP1,A0A024R3T8
CYCLINL1,Q9UK58
CDK19,Q9BWU1
HNRNPK,P61978
FOXC1,Q12948
TCF4,P15884
MEF2A,Q02078
CELF2,O95319
PBX3,P40426
STAT5A,P42229
TCF3,P15923
ZNF326,Q5BKZ1
CHOP,P35638
FOXO3A,O43524
P300,Q09472
HNRNPH3,P31942
HEY1,Q9Y5J3
CTSG,P08311
HOXC13,P31276
NKD2,Q969F2
SET7,Q8WTS6
SET9,Q8WTS6
GAS6,Q14393
TNRC6B,Q9UPQ9
ADCK4,A0A024R0Q9
THAP1,Q9NVV9
GLI2,A0A7I2PJA1
MCP-1,P13500
HNF4A,P41235
NFKBIA,P25963
PTRF,Q6NZI2
YB1,P67809
EP300,Q09472
RAD51,Q06609
QK,Q96PU8
WNK2,Q9Y3S1
FBXW7,Q969H0
RUNX1,Q01196
C16orf74,Q96GX8
LIN28,Q9H9Z2
USP22,Q9UPT9
GRP78,P11021
MLL1,Q03164
SMAD7,O15105
E2F,Q01094
FABP5,Q01469
PI3K-110α,P42336
DUSP1,P28562
HDAC6,Q9UBN7
REDD1,Q9NX09
PCM1,Q15154
RAC1,P63000
SIRT6,Q8N6T7
SMURF1,Q9HCE7
PRDX4,Q13162
Smad2,Q15796
Bub3,O43684
CTBP1,Q13363
MDH2,P40926
MTA2,O94776
p32,Q07021
Vps13D,Q5THJ4
CARF,Q8N187
KDM6B,O15054
HIF2α,Q99814
ZFP36,P26651
Stau1,O95793
PGK1,P00558
MYH1B,P11055
ENO1,P06733
HDAC3,O15379
G3BP2,Q9UN86
USF1,P22415
AR,P10275
Hsp90α,P07900
METTL7A,Q9H8H3
HIF-1α,ENSG00000100644
ANKHD1,Q8IWZ3
HDAC10,Q969S8
GCN5,Q92830
NF-κB,P19838
